CPFA BASELINE RUN (7x7)
Params file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_params.yaml
Results file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_baseline_7x7_results_20260811_135828.txt
RateOfLayingPheromone=9.0
RateOfSiteFidelity=2.29
RateOfPheromoneDecay=0.1
ProbabilityOfReturningToNest=0.08
ProbabilityOfSwitchingToSearching=0.55
UninformedSearchVariationRad=0.13
UninformedSearchVariationDeg=7.448451336700702
RateOfInformedSearchDecay=1.26

======================================================================
R10[RTB       ]: carry=1 | base=1.20 | wall=2.44 | search=  0 | target=none
R11[RTB       ]: carry=1 | base=0.43 | wall=3.08 | search=  0 | target=none
R12[SURVEY    ]: carry=1 | base=3.58 | wall=0.92 | search=  0 | target=none
R13[PHERO     ]: carry=0 | base=1.89 | wall=1.61 | search=  0 | target=phero(-0.12,2.33)
R14[PHERO     ]: carry=0 | base=0.26 | wall=3.24 | search=  0 | target=phero(0.63,-1.30)
R15[RTB       ]: carry=1 | base=0.78 | wall=2.75 | search=  0 | target=none
R16[PHERO     ]: carry=0 | base=1.15 | wall=2.40 | search=  0 | target=phero(-0.41,2.06)

======================================================================
Step 4500 (2.4 min) | Pickups: 38 | Deposits: 31 | Rate: 12.92 tags/min | phero_entries=13 max_w=0.506
======================================================================
R1[WALL_ESC  ]: carry=0 | base=3.35 | wall=0.34 | search=2110 | target=site(2.03,1.04)
R2[WALL_ESC  ]: carry=0 | base=4.49 | wall=0.29 | search=4032 | target=none
R3[SITE      ]: carry=0 | base=0.53 | wall=2.98 | search=  0 | target=site(-0.11,2.46)
R4[RTB       ]: carry=1 | base=0.55 | wall=2.96 | search=  0 | target=none
R5[PHERO     ]: carry=0 | base=0.25 | wall=3.32 | search=  0 | target=phero(-0.12,2.17)
R6[SITE      ]: carry=0 | base=1.80 | wall=2.19 | search=  0 | target=site(-1.84,1.86)
R7[RTB       ]: carry=1 | base=2.19 | wall=1.32 | search=  0 | target=none
R8[GIVE_UP   ]: carry=0 | base=1.62 | wall=1.90 | search=312 | target=none
R9[RTB       ]: carry=1 | base=1.73 | wall=2.10 | search=  0 | target=none
R10[SITE      ]: carry=0 | base=0.58 | wall=3.04 | search=  0 | target=site(0.55,-1.07)
R11[SITE      ]: carry=0 | base=0.64 | wall=2.88 | search=  0 | target=site(-0.28,1.10)
R12[RTB       ]: carry=1 | base=2.30 | wall=1.86 | search=  0 | target=none
R13[RTB       ]: carry=1 | base=1.84 | wall=1.66 | search=  0 | target=none
R14[SURVEY    ]: carry=1 | base=1.15 | wall=2.44 | search=  0 | target=none
