CPFA BASELINE RUN (7x7)
Params file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_params.yaml
Results file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_baseline_7x7_results_20260811_132421_2.txt
RateOfLayingPheromone=9.0
RateOfSiteFidelity=2.29
RateOfPheromoneDecay=0.1
ProbabilityOfReturningToNest=0.08
ProbabilityOfSwitchingToSearching=0.55
UninformedSearchVariationRad=0.13
UninformedSearchVariationDeg=7.448451336700702
RateOfInformedSearchDecay=1.26

======================================================================
R1[SEARCH    ]: carry=0 | base=1.53 | wall=2.01 | search=129 | target=phero(0.28,1.55)
R2[SEARCH    ]: carry=0 | base=1.15 | wall=2.36 | search= 75 | target=site(-0.18,-1.12)
R3[RTB       ]: carry=1 | base=1.24 | wall=2.60 | search=  0 | target=none
R4[RTB       ]: carry=1 | base=0.76 | wall=2.88 | search=  0 | target=none
R5[SEARCH    ]: carry=0 | base=4.34 | wall=0.40 | search=2003 | target=site(-0.27,-0.84)
R6[RTB       ]: carry=1 | base=2.88 | wall=1.40 | search=  0 | target=none
R7[SEARCH    ]: carry=0 | base=1.48 | wall=2.05 | search=799 | target=site(-0.20,-0.84)
R8[SITE      ]: carry=0 | base=0.80 | wall=2.73 | search=  0 | target=site(0.25,1.63)
R9[RTB       ]: carry=1 | base=0.88 | wall=2.71 | search=  0 | target=none
R10[PHERO     ]: carry=0 | base=0.41 | wall=3.09 | search=  0 | target=phero(0.25,1.63)
R11[RTB       ]: carry=1 | base=1.18 | wall=2.32 | search=  0 | target=none
R12[SURVEY    ]: carry=1 | base=1.09 | wall=2.57 | search=  0 | target=none
R13[RTB       ]: carry=1 | base=1.26 | wall=2.38 | search=  0 | target=none
R14[SEARCH    ]: carry=0 | base=2.96 | wall=0.65 | search=918 | target=phero(0.16,1.44)
R15[PHERO     ]: carry=0 | base=1.90 | wall=2.05 | search=  0 | target=phero(-2.19,2.32)
R16[PHERO     ]: carry=0 | base=0.84 | wall=2.67 | search=  0 | target=phero(0.22,1.49)

======================================================================
Step 6000 (3.2 min) | Pickups: 44 | Deposits: 40 | Rate: 12.50 tags/min | phero_entries=12 max_w=0.807
======================================================================
R1[GIVE_UP   ]: carry=0 | base=2.12 | wall=1.39 | search=468 | target=none
R2[SEARCH    ]: carry=0 | base=0.27 | wall=3.25 | search=575 | target=site(-0.18,-1.12)
R3[SITE      ]: carry=0 | base=0.71 | wall=2.95 | search=  0 | target=site(-2.12,2.20)
R4[SITE      ]: carry=0 | base=1.08 | wall=2.66 | search=  0 | target=site(1.10,0.94)
R5[GIVE_UP   ]: carry=0 | base=2.95 | wall=1.37 | search=2028 | target=none
R6[RTB       ]: carry=1 | base=1.01 | wall=2.77 | search=  0 | target=none
R7[RTB       ]: carry=1 | base=0.79 | wall=2.75 | search=  0 | target=none
R8[SURVEY    ]: carry=1 | base=1.70 | wall=1.81 | search=  0 | target=none
R9[SITE      ]: carry=0 | base=1.06 | wall=2.55 | search=  0 | target=site(1.68,0.98)
